id,title,genre,ott_platform,year_of_release,description,genre_source_raw,year_source
1,Crew,Comedy/Hindi,Netflix,2024,"Three women airhostes, who are best friends takes an unexpected turn.",Comedy/Hindi - NFX,imdb_exact
2,Dream Girl,Comedy/Hindi,Netflix,2019,A Hindi comedy about a man with a talent for mimicking female voices.,Comedy/Hindi - NFX,imdb_exact
3,Dream Girl 2,Comedy/Hindi,Netflix,2023,"The sequel to the hit Hindi comedy, likely continuing the protagonist's voice-mimicking adventures.",Comedy/Hindi - NFX,imdb_exact
4,Chor Nikal ke Bhaga,Thriller,Netflix,2023,A thrilling Hindi heist movie with unexpected twists and turns.,Thriller - NFX,imdb_exact
5,Great Indian Kapil Show S 2,Comedy,Netflix,,The second season of a popular Hindi comedy show featuring stand-up and celebrity interviews.,Comedy -NFX,unmatched
6,Emily in Paris,Comedy,Netflix,2020,An American comedy series about a young woman's adventures in the fashion industry in Paris.,Comedy - NFX,imdb_exact
7,Panchayat,Comedy,Amazon Prime,2020,A heartwarming Hindi comedy series depicting life in rural India through the eyes of a city-bred government officer.,Comedy - AP,imdb_exact
8,Srikanth,Drama,,2024,A Hindi biographical drama portraying the inspiring life story of a notable individual named Srikanth.,Drama,imdb_exact
9,Maharaja,Thriller,Netflix,2024,A gripping Tamil thriller about a desperate father challenging both gangsters and police to find justice.,Thriller - NFX,imdb_exact
10,Mr & Mrs Mahi,Comedy,,2024,A lighthearted Hindi comedy exploring the dynamics of a married couple and life with Cricket.,Comedy,imdb_exact
11,12th Fail,Drama,,2023,A Hindi drama highlighting the challenges and triumphs of academic struggles.,Drama,imdb_exact
12,83,Drama,,2021,A Hindi sports drama recreating India's historic cricket World Cup victory in 1983.,Drama,imdb_exact
13,Fauda,Thriller,,2015,An intense Israeli thriller series depicting the Israel-Palestine conflict.,Thriller,imdb_exact
14,Sukhee,Comedy,,2023,A feel-good Hindi comedy likely centered around a character's journey to happiness.,Comedy,imdb_exact
15,Teri Baaton Mein Aisa Uljha Jiya,Comedy,,2024,A quirky Hindi rom-com exploring the unexpected love between a man and an advanced humanoid robot.,Comedy,imdb_exact
16,Jaanejaan,Thriller,,2023,A Hindi thriller revolving around suspense and hidden secrets.,Thriller,imdb_exact
17,Article 15,Drama/Crime,,2019,A Hindi crime drama about caste-based discrimination and police investigation.,Drama/Crime,imdb_exact
18,Ulajh,Drama,,2024,A Hindi drama that delves into complex human emotions and relationships.,Drama,imdb_exact
19,Bhool Bhulaiyaa 2,Comedy/Horror,,2022,A Hindi comedy-horror sequel about a haunted mansion and strange occurrences.,Comedy/Horror,imdb_exact
20,Bhool Bhulaiyaa,Comedy/Horror,,2007,A Hindi comedy-horror about a psychiatrist trying to solve the mystery of a haunted palace.,Comedy/Horror,imdb_exact
21,The Railway Man,Biographical/Drama,Amazon Prime,2013,A biographical drama about a World War II soldier seeking revenge after surviving torture.,Biographical/Drama,imdb_exact
22,Khakee,Action/Thriller,,2004,A Hindi action-thriller about a police squad tasked with escorting a terrorist to court.,Action/Thriller,imdb_exact
23,Article 370,Drama,,2024,A Hindi political drama focusing on the abrogation of Article 370 in Kashmir.,Drama,imdb_exact
24,Maamla Legal Hai,Comedy,,2024,A Hindi comedy about legal complications that bring humor and chaos.,Comedy,imdb_exact
25,IC814,Thriller,,2024,A Hindi thriller based on the real-life hijacking of Indian Airlines Flight IC814.,Thriller,imdb_loose
26,RRR,Action/Drama,,2022,An Indian epic action-drama about two revolutionaries fighting for freedom against British rule.,Action/Drama,imdb_exact
27,The Investigator,Crime/Drama,,2013,A crime drama centered around a detective solving complex cases.,Crime/Drama,imdb_exact
28,Hilda,Adventure/Animation,,2018,An animated series about a fearless girl exploring a magical world full of creatures.,Adventure/Animation,imdb_exact
29,Worst Witch,Fantasy/Adventure,,1998,A fantasy series about a young girl attending a school for witches and her magical mishaps.,Fantasy/Adventure,imdb_loose
30,Charlie and the Chocolate Factory,Fantasy/Family,,2005,A fantasy about a boy's adventure in a magical chocolate factory.,Fantasy/Family,imdb_exact
31,We Can Be Heroes,Action/Family,,2020,A superhero family movie where kids of superheroes band together to save the world.,Action/Family,imdb_exact
32,Dr Binocs,Educational/Animation,,,An animated educational show that teaches kids fun science facts with Dr. Binocs.,Educational/Animation,unmatched
33,The Monkey King,Adventure/Animation,,2023,An animated adventure based on the legendary Monkey King from Chinese folklore.,Adventure/Animation,imdb_exact
34,Ponyo,Fantasy/Adventure,,2008,A magical animated film about a fish who turns into a girl and embarks on an adventure.,Fantasy/Adventure,imdb_exact
35,My Neighbor Totoro,Fantasy/Adventure,,1988,A heartwarming animated tale about two girls who discover friendly forest spirits.,Fantasy/Adventure,imdb_exact
36,The Sea Beast,Adventure/Animation,,2022,An animated adventure about a legendary sea monster hunter who finds an unlikely friend.,Adventure/Animation,imdb_exact
37,Spirited Away,Fantasy/Adventure,,2001,An animated fantasy about a girl trapped in a magical world and her quest to return home.,Fantasy/Adventure,imdb_exact
38,Ivy and Bean,Comedy/Family,,,A family comedy about two unlikely friends who create wild and imaginative adventures.,Comedy/Family,unmatched
39,The Christmas Chronicles,Family/Adventure,,2018,A family adventure about two kids who team up with Santa to save Christmas.,Family/Adventure,imdb_exact
40,True Spirit,Adventure/Drama,,2023,A drama about a young girl setting out to become the youngest person to sail solo around the world.,Adventure/Drama,imdb_exact
41,Sharkboy and Lavagirl,Fantasy/Adventure,,2005,A fantasy adventure about a boy's dream world where his superheroes come to life.,Fantasy/Adventure,imdb_loose
42,Arrietty,Fantasy/Adventure,,2010,A fantasy film about tiny people living secretly in the walls of a house.,Fantasy/Adventure,imdb_loose
43,The Magic School Bus,Educational/Animation,,1994,An educational animated series where kids learn science by going on magical bus adventures.,Educational/Animation,imdb_exact
44,A Little Princess,Family/Drama,,1995,A family drama about a young girl who stays optimistic despite her hardships.,Family/Drama,imdb_exact
45,Pets United,Animation/Comedy,,2019,An animated comedy about a group of pets who team up to save their city from robots.,Animation/Comedy,imdb_exact
